City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Hurghada,EG,27.2574,33.8129,78.53,41,0,12.59,clear sky
231,Itarema,BR,-2.9248,-39.9167,79.07,78,30,18.03,scattered clouds
232,Codrington,AU,-38.2667,141.9667,47.5,69,67,4.34,broken clouds
233,Rosario,AR,-32.9468,-60.6393,70.83,51,0,4.0,clear sky
234,Nagapattinam,IN,10.7667,79.8333,80.49,74,100,12.71,moderate rain
235,Shunyi,CN,40.125,116.6453,66.83,90,40,6.71,scattered clouds
236,Mtwara,TZ,-10.2667,40.1833,71.91,89,0,8.34,clear sky
237,Deder,ET,9.3167,41.45,58.64,71,87,4.45,light rain
238,Dauriya,RU,49.9333,116.8667,53.78,91,100,14.92,light rain
239,Guacimo,CR,10.2104,-83.6807,84.78,92,100,1.95,overcast clouds
240,Rundu,NA,-17.9333,19.7667,68.5,19,0,6.06,clear sky
241,Ouadda,CF,8.0777,22.4007,67.71,96,89,0.56,overcast clouds
242,Bengkulu,ID,-3.8004,102.2655,75.58,92,100,2.21,moderate rain
243,Dalvik,IS,65.9702,-18.5286,37.33,97,100,20.2,overcast clouds
244,Thinadhoo,MV,0.5333,72.9333,82.27,77,100,16.89,overcast clouds
245,Havoysund,NO,70.9963,24.6622,45.48,87,100,18.63,overcast clouds
246,Chapais,CA,49.7834,-74.8492,62.38,60,93,9.53,overcast clouds
247,Fuerte Olimpo,PY,-21.0415,-57.8738,87.62,27,0,4.23,clear sky
248,Puerto Maldonado,PE,-12.6,-69.1833,92.3,34,34,2.06,scattered clouds
249,Dhadar,IN,28.3305,75.0632,82.83,70,89,8.99,overcast clouds
250,Trincomalee,LK,8.5711,81.2335,81.3,74,88,18.54,moderate rain
251,Kluczbork,PL,50.9728,18.2182,61.99,86,23,2.08,few clouds
252,Kaeo,NZ,-35.1,173.7833,60.33,95,29,8.3,light rain
253,Muravlenko,RU,63.7898,74.523,31.98,76,39,5.57,scattered clouds
254,Pouebo,NC,-20.4,164.5667,74.7,64,37,9.64,scattered clouds
255,Svetlogorsk,BY,52.6333,29.7333,50.88,93,48,11.56,scattered clouds
256,Grand-Lahou,CI,5.1367,-5.0242,76.39,91,100,11.21,moderate rain
257,Belyy Yar,RU,53.6039,91.3903,33.69,86,0,4.47,light rain
258,Katubao,PH,5.8892,124.8294,79.81,80,100,2.57,overcast clouds
259,Namibe,AO,-15.1961,12.1522,64.45,86,80,4.85,broken clouds
260,Severo-Kurilsk,RU,50.6789,156.125,48.49,86,100,7.23,overcast clouds
261,Komsomolskiy,UZ,40.4272,71.7189,62.02,39,0,6.91,clear sky
262,Mount Isa,AU,-20.7333,139.5,74.97,14,4,8.05,clear sky
263,Boa Vista,BR,2.8197,-60.6733,91.38,43,75,6.91,broken clouds
264,Opuwo,NA,-18.0607,13.84,75.63,23,1,3.78,clear sky
265,Manono,CD,-7.3,27.4167,80.94,42,99,2.1,overcast clouds
266,Cabo San Lucas,MX,22.8909,-109.9124,93.61,70,16,7.16,few clouds
267,Rawson,AR,-43.3002,-65.1023,71.02,25,95,25.79,overcast clouds
268,Aswan,EG,24.0934,32.907,80.96,26,9,14.18,clear sky
269,Lora Del Rio,ES,37.659,-5.5275,70.68,72,0,4.23,clear sky
270,La Rioja,ES,42.25,-2.5,56.05,72,96,6.42,overcast clouds
271,Ozernovskiy,RU,51.5,156.5167,49.21,81,100,7.99,overcast clouds
272,The Pas,CA,53.8251,-101.2541,62.62,45,75,0.0,broken clouds
273,Usinsk,RU,65.9939,57.5281,37.0,82,96,9.66,overcast clouds
274,Lebu,CL,-37.6167,-73.65,51.91,78,24,11.01,few clouds
275,San Rafael,AR,-34.6177,-68.3301,82.24,15,0,9.28,clear sky
276,Shenavan,AM,40.0549,43.9288,60.31,45,25,12.62,scattered clouds
277,Cayenne,GF,4.9333,-52.3333,84.09,77,53,3.0,broken clouds
278,Katherine,AU,-14.4667,132.2667,73.72,53,52,4.61,broken clouds
279,Mrakovo,RU,52.7161,56.6244,53.67,57,100,6.96,overcast clouds
280,Nurota,UZ,40.5614,65.6886,62.69,15,0,3.0,clear sky
281,Kalamare,BW,-22.9337,26.5703,69.15,33,0,10.04,clear sky
282,Kodiak,US,57.79,-152.4072,47.71,49,1,6.91,clear sky
283,Tautira,PF,-17.7333,-149.15,80.62,79,12,13.49,light rain
284,Gunjur,GM,13.2019,-16.7339,73.47,100,75,4.61,thunderstorm
285,Faanui,PF,-16.4833,-151.75,78.69,75,9,9.75,light rain
286,Jumla,NP,29.2747,82.1838,58.42,89,94,2.95,overcast clouds
287,Pochutla,MX,15.7432,-96.4661,88.83,69,64,5.77,broken clouds
288,Batagay-Alyta,RU,67.8006,130.4114,24.94,90,86,3.38,overcast clouds
289,Soyo,AO,-6.1349,12.3689,75.6,84,88,6.33,overcast clouds
290,Waingapu,ID,-9.6567,120.2641,73.96,81,74,6.42,broken clouds
291,Cidreira,BR,-30.1811,-50.2056,62.64,88,2,8.72,clear sky
292,Kastoria,GR,40.5167,21.2667,60.39,27,0,2.64,clear sky
293,Pasni,PK,25.2631,63.471,80.49,80,41,8.99,scattered clouds
294,Ilulissat,GL,69.2167,-51.1,23.02,54,75,5.75,broken clouds
295,Vestmanna,FO,62.1564,-7.1664,52.72,100,90,12.66,mist
296,Byron Bay,AU,-28.65,153.6167,72.05,80,95,8.99,overcast clouds
297,Mogoytuy,RU,51.2833,114.9167,56.16,96,100,17.72,overcast clouds
298,Peterhead,GB,57.5058,-1.7981,63.0,97,80,13.87,broken clouds
299,Olinda,BR,-8.0089,-34.8553,76.73,73,40,11.5,scattered clouds
300,Beisfjord,NO,68.3751,17.5988,47.05,91,97,4.21,overcast clouds
301,Mobile,US,30.7835,-88.2,80.89,44,20,6.91,few clouds
302,Nenjiang,CN,49.1833,125.2167,49.37,90,84,4.9,broken clouds
303,Kaohsiung,TW,22.6163,120.3133,80.04,91,20,1.01,few clouds
304,Aripuana,BR,-9.1667,-60.6333,80.71,66,78,2.46,broken clouds
305,Bairiki,KI,1.3292,172.9752,86.0,74,40,8.05,scattered clouds
306,Siocon,PH,7.7061,122.1353,78.03,90,91,3.87,overcast clouds
307,Hasaki,JP,35.7333,140.8333,68.4,60,100,14.52,overcast clouds
308,Kargasok,RU,59.0556,80.8572,34.63,98,100,9.42,light rain
309,Yenagoa,NG,4.9247,6.2642,73.26,97,100,4.14,light rain
310,Turayf,SA,31.6725,38.6637,66.45,42,0,9.22,clear sky
311,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.76,100,90,4.61,overcast clouds
312,Plouzane,FR,48.3833,-4.6167,62.69,91,90,4.61,heavy intensity rain
313,Westport,US,41.1415,-73.3579,73.22,61,1,1.99,clear sky
314,Zhongshu,CN,24.5167,103.7667,60.15,94,87,2.8,overcast clouds
315,Tuatapere,NZ,-46.1333,167.6833,44.82,77,69,8.37,broken clouds
316,Ambilobe,MG,-13.2,49.05,67.01,73,0,3.94,clear sky
317,Urumqi,CN,43.801,87.6005,45.55,49,0,2.24,clear sky
318,Uray,RU,60.1247,64.7758,31.44,87,63,6.85,broken clouds
319,Bellegarde-Sur-Valserine,FR,46.1079,5.8242,66.54,97,71,1.14,broken clouds
320,Escanaba,US,45.7453,-87.0646,64.2,55,75,11.5,broken clouds
321,Buraydah,SA,26.326,43.975,84.65,21,2,8.86,clear sky
