City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Padang,ID,2021-09-23 21:04:16,-0.9492,100.3543,75.25,86,81,3.51
191,Cidreira,BR,2021-09-23 21:13:59,-30.1811,-50.2056,62.33,84,99,18.59
192,Taltal,CL,2021-09-23 21:00:20,-25.4,-70.4833,64.24,68,23,6.17
193,Agua Dulce,MX,2021-09-23 21:14:00,18.1333,-94.1333,83.98,84,100,17.38
194,Synya,RU,2021-09-23 21:14:00,65.3718,58.0387,37.35,96,100,4.14
195,La Ronge,CA,2021-09-23 21:14:01,55.1001,-105.2842,44.78,79,100,17.96
196,Raga,SS,2021-09-23 21:00:27,8.4596,25.678,72.57,93,89,3.47
197,Ozieri,IT,2021-09-23 21:14:01,40.586,9.0012,65.82,81,22,3.83
198,Geraldton,AU,2021-09-23 21:14:02,-28.7667,114.6,50.41,93,0,5.75
199,Tiksi,RU,2021-09-23 21:14:02,71.6872,128.8694,38.8,74,100,21.61
200,Coquimbo,CL,2021-09-23 21:14:03,-29.9533,-71.3436,62.33,63,0,14.97
201,Port Blair,IN,2021-09-23 21:04:53,11.6667,92.75,80.28,82,100,10.69
202,Ajtos,BG,2021-09-23 21:14:04,42.7,27.25,56.62,55,85,0.85
203,Kapaa,US,2021-09-23 21:14:04,22.0752,-159.319,82.38,74,75,3.0
204,Lantawan,PH,2021-09-23 21:14:05,10.6167,123.9833,76.44,89,96,2.98
205,Norton,ZW,2021-09-23 21:14:05,-17.8833,30.7,62.6,60,49,7.29
206,Iqaluit,CA,2021-09-23 21:14:05,63.7506,-68.5145,32.29,77,37,15.23
207,Port Macquarie,AU,2021-09-23 21:04:26,-31.4333,152.9167,53.56,54,0,4.09
208,Soyo,AO,2021-09-23 21:04:37,-6.1349,12.3689,75.31,84,19,7.87
209,Mount Gambier,AU,2021-09-23 21:14:06,-37.8333,140.7667,49.91,93,90,16.11
210,Port-Gentil,GA,2021-09-23 21:04:38,-0.7193,8.7815,77.97,83,79,9.08
211,Santiago De Chuco,PE,2021-09-23 21:14:07,-8.15,-78.1833,59.45,58,87,8.05
212,Nalut,LY,2021-09-23 21:14:07,30.3333,10.85,84.47,19,47,12.19
213,Chapleau,CA,2021-09-23 21:14:08,47.8405,-83.4034,42.89,93,90,10.36
214,Imeni Poliny Osipenko,RU,2021-09-23 21:14:08,52.4201,136.4853,37.56,84,0,1.1
215,Shelburne,CA,2021-09-23 21:14:08,44.0787,-80.2041,59.05,82,96,13.04
216,Vila Velha,BR,2021-09-23 21:11:41,-20.3297,-40.2925,69.75,64,40,12.66
217,Lorengau,PG,2021-09-23 21:04:51,-2.0226,147.2712,79.93,81,98,8.77
218,Fairlie,GB,2021-09-23 21:14:09,55.756,-4.8556,60.01,87,91,8.01
219,Axim,GH,2021-09-23 21:14:10,4.8699,-2.2405,76.71,92,68,5.39
220,Gat,IL,2021-09-23 21:04:49,31.61,34.7642,77.68,100,4,7.2
221,Bukachacha,RU,2021-09-23 21:14:10,52.9833,116.9167,35.08,95,26,1.97
222,Hokitika,NZ,2021-09-23 21:14:11,-42.7167,170.9667,54.14,82,16,11.45
223,Los Llanos De Aridane,ES,2021-09-23 21:14:11,28.6585,-17.9182,71.35,89,0,11.5
224,Avarua,CK,2021-09-23 21:10:03,-21.2078,-159.775,73.45,60,20,6.91
225,Maraa,BR,2021-09-23 21:04:47,-1.8333,-65.3667,78.93,88,86,3.44
226,Verkhnevilyuysk,RU,2021-09-23 21:14:12,63.4453,120.3167,39.34,80,100,3.78
227,Bereda,ES,2021-09-23 21:14:12,43.2686,-7.5406,60.91,99,79,7.43
228,Cayenne,GF,2021-09-23 21:14:13,4.9333,-52.3333,86.04,78,0,4.0
229,Les Cayes,HT,2021-09-23 21:14:13,18.2,-73.75,84.33,69,91,5.53
230,San Joaquin,US,2021-09-23 21:14:14,37.9333,-121.3011,97.79,27,1,10.36
231,Pathein,MM,2021-09-23 21:14:14,16.7833,94.7333,74.95,97,100,3.83
232,Salinopolis,BR,2021-09-23 21:14:14,-0.6136,-47.3561,81.23,74,63,11.12
233,Korla,CN,2021-09-23 21:14:15,41.7597,86.1469,66.38,28,2,8.5
234,Peleduy,RU,2021-09-23 21:14:15,59.6289,112.7406,33.31,94,51,3.24
235,Dir,PK,2021-09-23 21:14:16,35.2058,71.8756,62.92,85,0,3.06
236,Jacareacanga,BR,2021-09-23 21:14:16,-6.2222,-57.7528,82.29,64,95,5.19
237,Lavrentiya,RU,2021-09-23 21:14:17,65.5833,-171.0,32.5,68,91,3.24
238,Coahuayana,MX,2021-09-23 21:05:37,18.7333,-103.6833,92.68,67,18,5.7
